iter	Passed	Remaining
914	1261	117
915	1263	115
916	1263	114
917	1264	112
918	1265	111
919	1266	110
920	1267	108
921	1268	107
922	1269	105
923	1270	104
924	1272	103
925	1273	101
926	1274	100
927	1275	98
928	1276	97
929	1276	96
930	1277	94
931	1278	93
932	1279	91
933	1280	90
934	1281	89
935	1282	87
936	1283	86
937	1286	85
938	1287	83
939	1288	82
940	1289	80
941	1290	79
942	1292	78
943	1292	76
944	1294	75
945	1296	74
946	1298	72
947	1300	71
948	1301	69
949	1302	68
950	1304	67
951	1305	65
952	1306	64
953	1308	63
954	1309	61
955	1310	60
956	1311	58
957	1312	57
958	1313	56
959	1314	54
960	1315	53
961	1316	51
962	1316	50
963	1317	49
964	1319	47
965	1321	46
966	1322	45
967	1323	43
968	1323	42
969	1325	40
970	1327	39
971	1328	38
972	1329	36
973	1331	35
974	1333	34
975	1334	32
976	1335	31
977	1335	30
978	1336	28
979	1337	27
980	1338	25
981	1339	24
982	1340	23
983	1341	21
984	1341	20
985	1342	19
986	1343	17
987	1344	16
988	1346	14
989	1347	13
990	1352	12
991	1355	10
992	1356	9
993	1357	8
994	1358	6
995	1359	5
996	1360	4
997	1361	2
998	1362	1
999	1363	0
